ZIP_CODE,Population,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,amenities_index,Education_Per_10k,Education_z,Public_Safety_Per_10k,Public_Safety_z,Crime_Per_10k,Crime_z,crime_events,violent_crime_events,property_crime_events,part1_events,crime_events_per_capita,crime_events_per_10k,crime_events_z,violent_crime_per_capita,violent_crime_per_10k,property_crime_per_capita,property_crime_per_10k
90703,48108,3,1,1,0,25,0.03139,0.000519664,6.2e-05,1.0090096336896066,5.1966399999999995,0.851859252728195,0.62,-0.10317833857368264,313.90000000000003,0.05924508875397617,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90704,3421,4,1,1,0,1,0.01403,0.000292312,0.001169,-0.0943015172246194,2.92312,-0.23928913616861208,11.69,0.5394977951159667,140.3,-0.021606688218010855,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90706,76819,3,1,1,0,17,0.01973,0.000221299,3.9e-05,0.6412392500515314,2.21299,-0.5801074291272355,0.39,-0.11653113990598792,197.3,0.004940266202514839,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90710,26761,1,0,0,0,8,0.0028,0.000298942,3.7e-05,-0.7220624753053416,2.98942,-0.20746925414256495,0.37,-0.1176922530653188,28.0,-0.07390884578687112,4052.0,1246.0,2526.0,2338.0,0.15141437166025185,1514.1437166025185,-0.19795163385702128,0.04656029296364112,465.6029296364112,0.09439109151377004,943.9109151377004
90712,30800,3,1,1,0,12,0.03185,0.00038961,9.7e-05,0.41138276027773424,3.8960999999999997,0.22768083085556862,0.97,-0.08285885828539201,318.50000000000006,0.061387474549316846,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90713,28221,1,0,0,0,8,0.01031,0.000283477,3.5e-05,-0.7220624753053416,2.8347700000000002,-0.2816916486422355,0.35,-0.1188533662246497,103.1,-0.03893206899772236,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90716,13599,1,0,0,0,3,0.01787,0.000220604,7.4e-05,-0.9519189650791388,2.2060400000000002,-0.5834429974542493,0.74,-0.0962116596176973,178.70000000000002,-0.0037224241873409156,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90717,21482,2,1,1,0,6,0.01704,0.000279304,9.3e-05,0.13555497254917773,2.7930400000000004,-0.30171945674098277,0.9299999999999999,-0.0851810846040538,170.4,-0.007588033339803433,264.0,98.0,149.0,164.0,0.012289358532725073,122.89358532725073,-0.543867665745011,0.0045619588492691555,45.619588492691555,0.006936039474909226,69.36039474909226
90723,52050,2,1,1,0,21,0.02459,0.000403458,3.8e-05,0.8251244418705691,4.03458,0.29414262969368304,0.38,-0.11711169648565337,245.9,0.02757503786633148,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,1888.3563988459093,-0.10490857624009935,0.04397951917534163,439.7951917534163,0.12229764193510417,1222.9764193510418
90731,61944,10,2,2,2,16,0.00034,0.000258298,0.000161,1.5448279958608102,2.58298,-0.40253520965789724,1.61,-0.04570323718680342,3.4000000000000004,-0.08536595243151905,15715.0,5012.0,9514.0,8659.0,0.25369688751130054,2536.968875113005,0.056360378191333986,0.08091179129536355,809.1179129536355,0.15359033966162985,1535.9033966162986
