ZIP_Code,Count_Part_1_Crime,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Median_AirBNB_Price_June ,Median_Price_Entire_Home/Apt_June,Median_Price_Hotel_Room_June,Median_Price_Private_Room_June ,Median_Price_Shared_Room_June,Median_Price_September,Median_Price_Entire_Home/Apt_September,Median_Price_Hotel_Room_September,Median_Price_Private_Room_September,Median_Price_Shared_Room_September,Population,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,,
90018,0,2,0,0,0,16,50,134,0,48,39,45,141,0,41,36.5,48745,0.00000,0.000328239,0.000041,,
90019,1,2,1,1,1,15,116.5,150,0,80,0,110,148,0,58,0,59548,0.00002,0.000251898,0.000034,,
90021,6,1,0,0,0,8,127.5,127.5,0,0,0,143,143,0,0,0,2897,0.00207,0.002761477,0.000345,,
90022,1388,3,1,1,0,25,66,124.5,0,60,0,102.5,121,0,39,0,60343,0.02300,0.000414298,0.000050,,
90023,141,2,0,0,0,19,50,131,0,38,0,72,128,0,43,0,43857,0.00321,0.000433226,0.000046,,
90024,1,2,0,0,0,7,135,243,0,60,77,113,225,0,70,77,51675,0.00002,0.000135462,0.000039,,
90025,3,1,1,1,0,11,137,181.5,0,68.5,40,135,177.5,0,63,39,46508,0.00006,0.000236518,0.000022,,
90026,0,1,0,0,0,22,154,162,0,72,0,150,160,0,74.5,0,62692,0.00000,0.000350922,0.000016,,
90027,2,1,0,0,0,9,156.5,180,0,80,81,140,180.5,0,65,76,46558,0.00004,0.000193307,0.000021,,
90028,2,4,1,1,1,16,169,184.5,255,76.5,24.5,159.5,171,244,75.5,19,32883,0.00006,0.000486574,0.000122,,
90029,10,1,0,0,0,7,122,140,0,73.5,42.5,113.5,139,0,68.5,32,33303,0.00030,0.000210191,0.000030,,
90031,0,1,0,0,0,18,102,164.5,0,50,0,110,151,0,38,0,36127,0.00000,0.000498242,0.000028,,
90032,6,3,1,1,0,15,106,129,0,60,0,115,131,0,52.5,0,43117,0.00014,0.000347891,0.000070,,
90033,48,4,2,2,1,21,89,113,0,65,0,82.5,84,0,63,0,45647,0.00105,0.000460052,0.000088,,
90034,2,1,0,0,0,14,115,135,0,60,0,115,130.5,0,68,0,57075,0.00004,0.000245291,0.000018,,
90035,1,1,0,0,0,16,140,152.5,323,84,0,139,158,345,75,0,29000,0.00003,0.000551724,0.000034,,
90036,0,1,0,0,0,13,184,208,0,94,27,160,170,0,80,28,39278,0.00000,0.000330974,0.000025,,
90037,1,1,0,0,0,15,73,169,0,45,20,79,138,0,49,18,65482,0.00002,0.000229071,0.000015,,
90038,14,1,0,0,0,8,160,179,0,88,44,154,176,0,70,36.5,27127,0.00052,0.000294909,0.000037,,
90039,0,1,0,0,0,8,166,178,0,105,0,160.5,176,0,83,0,28884,0.00000,0.00027697,0.000035,,
90040,887,5,0,0,1,3,39,229,0,39,34,217,217,0,0,0,11430,0.07760,0.000262467,0.000437,,
90041,0,2,0,0,0,9,148,152,0,90,0,148,158.5,0,86,0,27920,0.00000,0.00032235,0.000072,,
90042,0,1,0,0,0,16,145,160,0,60,0,146,163.5,0,66.5,0,56835,0.00000,0.000281517,0.000018,,
90043,223,1,0,0,0,23,125.5,158,0,52.5,0,122,148.5,0,62,0,42377,0.00526,0.000542747,0.000024,,
