,log_population,log_part_1_crime_count,crime_per_10k,crime_z,Count_Educational_Facility,education_facilities_z,Count_Public_Safety,public_safety_z,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,external_amenities_index,avg_landmark_distance_z,centrality_index,LAX_Median_Distance_June_(KM),Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Griffith_Park_Median_Distance_June_(KM),Walt_Disney_Concert_Hall_Median_Distance_June_(KM),TCL_Chinese_Theater_Median_Distance_June_(KM),Madame_Tussauds_Median_Distance_June_(KM),Venice_Beach_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),Aquarium_of_the_Pacific_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),Queen_Mary_Median_Distance_June_(KM)
Venice_Beach_Median_Distance_June_(KM),-0.11049557050609168,0.28618841190097544,0.14967578512893287,0.1496757851289329,0.007680437747191,0.007680437747191061,0.1780376461165965,0.17803764611659675,-0.024705709840596536,-0.024705709840596536,0.18169585605135058,0.04324653447517786,0.9296245060336066,-0.9296245060336066,0.9652009545643951,0.8480233222913436,0.73689061210155,0.7671241981748096,0.8634440071113578,0.8642731510426531,1.0,0.8126346483327328,0.8588016861530762,0.7816733943986772,0.9281648698934424,0.9438114308353761,0.7830959086647203,0.8062323340839468,0.5676182525281094,0.9936201958444507,0.5575753788580327
Crypto_Arena_Median_Distance_June_(KM),-0.17510207846843498,0.2299490210421376,0.10617833008933353,0.10617833008933357,-0.10649326827383858,-0.10649326827383844,0.19646689173767487,0.1964668917376752,-0.031080132416505726,-0.031080132416505726,0.17299302845369224,0.008824450221209802,0.9577047679196523,-0.9577047679196523,0.8560364441608258,0.9240899853129133,0.8861719057978993,0.9964375408511518,0.9082611645533125,0.9081409695339219,0.8126346483327328,1.0,0.9899735678109056,0.8699927278139505,0.9332818250269858,0.7555650998676776,0.9188194320263571,0.8256310261833741,0.6523399596916125,0.7785125728653965,0.6453455736332577
California_Science_Center_Median_Distance_June_(KM),-0.17858401453092412,0.2131499166664656,0.0945861917172277,0.09458619171722778,-0.10852816055130518,-0.10852816055130507,0.19602037793757426,0.1960203779375744,-0.03301879341310042,-0.03301879341310042,0.18517011173292827,0.00680699234870335,0.9630090433925622,-0.9630090433925622,0.9130537857194523,0.8981842873393211,0.8354428105332387,0.9764108615957816,0.8859385803953156,0.8860448629403239,0.8588016861530762,0.9899735678109056,1.0,0.8279290123049206,0.9335569738091404,0.7700589783754366,0.8779379079573262,0.7906707933435585,0.7188494744266893,0.8189765474450977,0.7116796813265763
Hollywood_Sign_Median_Distance_June_(KM),-0.12707125948837728,0.36152420670531077,0.20086922964423023,0.20086922964423057,-0.003958263490092648,-0.003958263490092634,0.2166001338222341,0.2166001338222341,0.03279331007965071,0.03279331007965071,0.14354517740958256,0.0882746128237459,0.9166197814895393,-0.9166197814895393,0.7047822643085163,0.9875403115455479,0.9940392048893522,0.8683770643718811,0.9866848182648545,0.986437698706675,0.7816733943986772,0.8699927278139505,0.8279290123049206,1.0,0.9425799136775427,0.8805221208304542,0.9924839860223179,0.9922338514768839,0.25995678295278424,0.8003441330949845,0.2501487386312401
La_Brea_Median_Distance_June_(KM),-0.14273307313955516,0.3258069399499348,0.1685926247677851,0.1685926247677854,-0.027409103420738618,-0.027409103420738563,0.21651895099697122,0.2165189509969716,0.004931581351861496,0.004931581351861496,0.17551643960057084,0.06312892476904161,0.9901066200287431,-0.9901066200287431,0.89216200942664,0.9807353112559303,0.9238504517512358,0.9113540484317492,0.9835291188503943,0.9837727593151325,0.9281648698934424,0.9332818250269858,0.9335569738091404,0.9425799136775427,1.0,0.9338611858766165,0.9518955328868584,0.9396124421896909,0.4902974048614232,0.9249307945999342,0.4804206767141346
Getty_Center_Median_Distance_June_(KM),-0.10230215469171777,0.36071891467501915,0.20153078929828788,0.20153078929828797,0.03631275579923928,0.03631275579923936,0.19358933751554583,0.19358933751554616,0.013760823045732633,0.013760823045732633,0.15374376818194588,0.08167381021113114,0.9021193135147488,-0.9021193135147488,0.8369095494175536,0.900827369312528,0.8298162482194597,0.7181740948236319,0.9216225503390969,0.922227175958237,0.9438114308353761,0.7555650998676776,0.7700589783754366,0.8805221208304542,0.9338611858766165,1.0,0.85153821194805,0.9200362817106716,0.30530196299437184,0.9711789014553317,0.29383348810879883
Griffith_Observatory_Median_Distance_June_(KM),-0.13857117439267122,0.33864000397227545,0.18377845343151988,0.1837784534315199,-0.026866190944614697,-0.02686619094461468,0.21689630918759015,0.21689630918759048,0.021094221280909122,0.021094221280909122,0.15128680992640317,0.07367686720120825,0.9371971536840387,-0.9371971536840387,0.7343213906368263,0.9923105866379953,0.9957989481100069,0.9201728445323645,0.9859976289113943,0.9856983376562829,0.7830959086647203,0.9188194320263571,0.8779379079573262,0.9924839860223179,0.9518955328868584,0.85153821194805,1.0,0.9716969359161967,0.34546929497944684,0.7894324026113252,0.33637387082188497
Universal_Studios_Hollywood_Median_Distance_June_(KM),-0.11990763439386533,0.3782718532395898,0.21241808498062387,0.21241808498062392,0.014597199537891844,0.014597199537891875,0.21448248744156717,0.21448248744156737,0.03935205183869812,0.03935205183869812,0.14011961985175767,0.09765173546989567,0.9048332892183957,-0.9048332892183957,0.7065358748058992,0.9765908847149718,0.9734559056304046,0.8168153271958188,0.982474025084795,0.9823842173844775,0.8062323340839468,0.8256310261833741,0.7906707933435585,0.9922338514768839,0.9396124421896909,0.9200362817106716,0.9716969359161967,1.0,0.21117567215660432,0.8343079172480162,0.2006207114532467
Aquarium_of_the_Pacific_Median_Distance_June_(KM),-0.1637256087941672,-0.00047733446351673936,-0.04557532711562349,-0.04557532711562337,-0.09294994322119766,-0.09294994322119764,0.07940585392043129,0.07940585392043163,-0.07724408533627623,-0.07724408533627623,0.19046398299304712,-0.05331223508003722,0.5895607913727167,-0.5895607913727167,0.7477139035760442,0.38468046247051796,0.2759403626663731,0.6320629407413912,0.36734780465852995,0.3678064753063014,0.5676182525281094,0.6523399596916125,0.7188494744266893,0.25995678295278424,0.4902974048614232,0.30530196299437184,0.34546929497944684,0.21117567215660432,1.0,0.48076213726501765,0.9998907772610269
Santa_Monica_Pier_Median_Distance_June_(KM),-0.10017790572206013,0.31078126124728433,0.16795351651315515,0.16795351651315518,0.024309533307912374,0.024309533307912422,0.176960401213004,0.17696040121300433,-0.017904648206794955,-0.017904648206794955,0.17027997071447667,0.05249632681647821,0.9151626044282676,-0.9151626044282676,0.9306798392580234,0.8537979291576121,0.7495848757065644,0.7326493879341884,0.8730080768591137,0.8738372722392517,0.9936201958444507,0.7785125728653965,0.8189765474450977,0.8003441330949845,0.9249307945999342,0.9711789014553317,0.7894324026113252,0.8343079172480162,0.48076213726501765,1.0,0.4701311322884138
Queen_Mary_Median_Distance_June_(KM),-0.16257532529105256,-0.003293264713356417,-0.04744856015018771,-0.04744856015018774,-0.09311924370652032,-0.09311924370652025,0.07675427323496559,0.07675427323496593,-0.07838957343597037,-0.07838957343597037,0.18958778050906888,-0.054934093536608296,0.5804544323535399,-0.5804544323535399,0.739395205954182,0.3750140867136803,0.2669031351065672,0.6255972359359108,0.3573309188294117,0.35778235097772887,0.5575753788580327,0.6453455736332577,0.7116796813265763,0.2501487386312401,0.4804206767141346,0.29383348810879883,0.33637387082188497,0.2006207114532467,0.9998907772610269,0.4701311322884138,1.0
