ZIP_CODE,Population,Part_1_Crime_Count,Part_1_Crime_Per_Capita,Count_Educational_Facility,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Airbnb_Listings_Count_June,Airbnb_Listings_Per_Capita_June,Median_Price_June,Median_Price_Entire_Home/Apt_June,Median_Price_Hotel_Room_June,Median_Price_Private_Room_June,Median_Price_Shared_Room_June,LAX_Median_Distance_June_(KM),Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Griffith_Park_Median_Distance_June_(KM),Walt_Disney_Concert_Hall_Median_Distance_June_(KM),TCL_Chinese_Theater_Median_Distance_June_(KM),Madame_Tussauds_Median_Distance_June_(KM),Venice_Beach_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),Aquarium_of_the_Pacific_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),Queen_Mary_Median_Distance_June_(KM),Airbnb_Listings_Count_Sept,Airbnb_Listings_Per_Capita_Sept,LAX_Distance_Median_Sept_(KM),log_median_price_june,log_population,log_part_1_crime_count,crime_per_10k,crime_z,education_facilities_z,public_safety_z,external_amenities_index,avg_landmark_distance_z,centrality_index
90805,92402.0,24.0,0.00025973,16.0,2.0,0.0,0.0,0.0,70.0,0.000757559,126.5,143.5,0.0,97.0,273.0,22.60937791,29.83502269,32.41043113,22.39684603,30.53684892,30.53562393,30.00812524,21.7560919,19.77846292,32.9567247,27.85984348,36.10677135,30.65914325,34.55900553,11.53291585,33.23413755,12.43317415,77,0.000833315,22.73350857,4.840242308167575,11.433914724635184,3.2188758248682006,2.5973,-0.5452021913587844,0.4718621615168967,-0.38268482092382755,-0.3984061894173344,-0.06482343113335269,0.06482343113335269
90806,41664.0,3.0,7.2e-05,9.0,1.0,0.0,0.0,0.0,125.0,0.003000192,148.0,152.0,254.0,70.5,38.0,25.45919738,35.70343563,38.50082152,28.59467846,36.22832333,36.21783524,33.07511689,27.82335673,25.47905224,38.92683624,32.97106506,40.26744429,36.68720934,40.3745198,4.332553196,36.38490442,5.29663341,128,0.003072197,25.45919738,4.997212273764115,10.637416726816307,1.3862943611198906,0.72,-0.5658968191466234,-0.5307612682026936,-0.9553739934951502,-0.7922343399900627,0.18401071768292693,-0.18401071768292693
90807,33101.0,2.0,6.042e-05,8.0,3.0,0.0,0.0,0.0,101.0,0.003051267,144.0,173.0,0.0,78.0,0.0,24.41577027,33.31068633,35.92139295,25.94165482,33.86839797,33.85971177,31.91092871,25.25821871,23.08706651,36.49356685,30.71527349,38.51471029,34.1630543,37.99707186,7.358654365,35.1985325,8.327453114,100,0.003021057,24.46864614,4.969813299576001,10.407348982500485,1.0986122886681096,0.6042,-0.5671733534766887,-0.6739931867340637,0.190004351647495,-0.5416977333372439,0.08167945939488913,-0.08167945939488913
90808,39317.0,5.0,0.00012717,19.0,4.0,1.0,1.0,0.0,80.0,0.002034743,141.0,219.0,0.0,61.5,0.0,29.9900582,36.43212477,38.47624666,28.35065177,37.18508178,37.1843845,37.43456629,28.06874157,26.44785467,39.33494529,34.57122457,43.33714824,36.90007859,41.17040814,10.15037759,40.6468244,10.45261844,84,0.00213648,29.9900582,4.948759890378168,10.579437708267552,1.791759469228055,1.2716999999999998,-0.5598150921181512,0.9015579171110069,0.7626935242188175,0.6879001223594603,0.30181409442286605,-0.30181409442286605
90810,35833.0,93.0,0.00259537,9.0,2.0,0.0,0.0,0.0,47.0,0.00131164,80.0,96.5,0.0,68.0,0.0,22.98399156,33.79625111,36.80652754,27.00097759,34.2620048,34.24980235,30.59320957,26.13716427,23.60296225,37.12191256,30.87098916,37.93678322,34.95594938,38.42017212,5.872310607,33.90572204,7.004740544,44,0.001227918,22.97293628,4.382026634673881,10.486652442359842,4.543294782270004,25.9537,-0.2877302878463562,-0.5307612682026936,-0.38268482092382755,-0.649062046847232,0.07959470896465438,-0.07959470896465438
90813,51241.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,119.0,0.002322359,121.0,135.5,0.0,56.5,36.0,27.59333793,38.16456715,41.05765492,31.11486927,38.64899623,38.63729547,35.22054179,30.38456674,27.94669767,41.44586728,35.32317434,42.52045434,39.25518627,42.80404726,2.32779485,38.54023252,3.06354844,120,0.002341875,27.48247718,4.795790545596741,10.844314787255186,0.0,0.0,-0.573833820162574,0.04216640592278654,-0.38268482092382755,-0.5058301283158619,0.3068306734988394,-0.3068306734988394
91001,35475.0,492.0,0.01386892,15.0,4.0,2.0,2.0,0.0,109.0,0.003072586,169.0,210.5,0.0,83.5,0.0,36.7873404,19.42064882,14.95947228,17.98785941,20.57639662,20.62410119,37.55241704,19.77188215,23.2341728,17.39513857,24.02378176,32.75509218,16.42460505,20.03940021,47.81303931,38.06775293,48.72898807,109,0.003072586,36.77845778,5.1298987149230735,10.476611690496343,6.20050917404269,138.6892,0.9550221816448904,0.3286302429855267,0.7626935242188175,1.237205990420696,-0.13239403308442613,0.13239403308442613
91006,31582.0,71.0,0.00224812,13.0,2.0,0.0,0.0,0.0,152.0,0.004812868,120.5,174.0,0.0,68.0,33.0,41.31636039,28.50077019,25.42923956,22.74136425,29.81552835,29.85554267,44.41098698,24.65581626,27.4673209,27.91615047,31.8692578,42.25096593,25.95580273,30.87831575,42.77358094,45.86002763,43.44336099,139,0.004401241,41.34371284,4.791649752930709,10.36037428013116,4.276666119016055,22.4812,-0.32600978232953454,0.04216640592278654,-0.38268482092382755,-0.5058301283158619,0.2818018725443168,-0.2818018725443168
91007,33029.0,19.0,0.00057525,10.0,3.0,1.0,1.0,1.0,142.0,0.004299252,130.0,200.0,0.0,71.0,0.0,38.17230878,24.9588777,21.87732838,19.39047672,26.26713968,26.30849059,41.06459336,21.33027529,24.21059342,24.3762379,28.39987327,38.73680067,22.42406322,27.33258965,42.15745027,42.43541079,42.93456259,139,0.004208423,38.23819862,4.867534450455582,10.405171518384835,2.995732273553991,5.7525,-0.5104204891288854,-0.38752934967132363,0.190004351647495,0.22245601252104705,0.08628870393686341,-0.08628870393686341
91010,27589.0,305.0,0.01105513,10.0,1.0,0.0,0.0,0.0,52.0,0.001884809,107.0,153.0,0.0,71.0,0.0,45.21411434,32.30492431,29.09382703,26.64891276,33.60858057,33.65044727,48.34303083,28.56572329,31.34061157,31.60718044,35.75443494,46.1101565,29.74242528,34.5493245,46.2816956,49.75203866,46.92294199,59,0.002138533,45.30643916,4.672828834461906,10.225208667211332,5.723585101952381,110.5513,0.6448408748577847,-0.38752934967132363,-0.9553739934951502,-0.7564263603572201,0.5149906956074207,-0.5149906956074207
91011,19935.0,268.0,0.01344369,12.0,3.0,0.0,0.0,0.0,43.0,0.00215701,222.5,311.5,0.0,91.5,0.0,35.04562588,16.37364059,11.49893924,17.87014662,17.24840371,17.2952267,34.68163435,19.43613976,22.85509079,13.66380982,21.30521981,28.67753671,13.44004671,15.73784879,49.76715073,34.81940043,50.78088243,45,0.002257336,35.0899051,5.404927101606295,9.90028242158718,5.594711379601839,134.4369,0.9081464741169366,-0.10106551260858351,0.190004351647495,-0.39846581480587384,-0.26856225825114016,0.26856225825114016
91016,41140.0,48.0,0.00116675,16.0,4.0,1.0,1.0,1.0,229.0,0.005566359,148.5,174.0,0.0,70.0,0.0,43.61065198,30.21575404,26.92307253,24.91718291,31.51459313,31.55853507,46.5855547,26.85156893,29.68647993,29.43441056,33.72375712,43.99375892,27.60069063,32.3783293,46.06697307,47.85138799,46.7666489,230,0.005590666,43.63201295,5.000584958242754,10.62476047015509,3.8918202981106265,11.6675,-0.44521582106034685,0.4718621615168967,0.7626935242188175,0.5804761834609328,0.40418107499146605,-0.40418107499146605
91020,7532.0,45.0,0.00597451,3.0,1.0,0.0,0.0,0.0,19.0,0.00252257,147.0,147.0,0.0,0.0,0.0,33.9807455,14.9096719,10.00827672,17.49628279,15.67729527,15.72326531,33.14262203,18.85219834,22.15246796,11.86931314,19.92218404,26.85671132,12.01851308,13.90682688,49.89563858,33.11151903,50.92506465,20,0.002655337,34.00868553,4.990432586778736,8.927048647825695,3.828641396489095,59.745099999999994,0.08477301233474478,-1.390152779390914,-0.9553739934951502,-1.0070822177871177,-0.343250465694743,0.343250465694743
