ZIP_Code,Population,Part_1_Crime_Count,Part_1_Crime_Per_Capita,Count_Educational_Facility,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Airbnb_Listings_Count_June,Airbnb_Listings_Per_Capita_June,Median_Price_June,Median_Price_Entire_Home/Apt_June,Median_Price_Hotel_Room_June,Median_Price_Private_Room_June ,Median_Price_Shared_Room_June,LAX_Median_Distance_June_(KM),Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Griffith_Park_Median_Distance_June_(KM),Walt_Disney_Concert_Hall_Median_Distance_June_(KM),TCL_Chinese_Theater_Median_Distance_June_(KM),Madame_Tussauds_Median_Distance_June_(KM),Venice_Beach_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),Aquarium_of_the_Pacific_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),Queen_Mary_Median_Distance_June_(KM),Airbnb_Listings_Count_Sept,Airbnb_Listings_Per_Capita_Sept,LAX_Distance_Median_Sept_(KM)
90058,3585,10,0.0027894,2,4,1,1,1,137,0.038214784,182.5,198,0,56.5,0,17.75061409,13.17353619,15.02197049,4.902049095,14.0833566,14.09088368,21.9797147,4.68988102,4.756156116,15.84302354,12.62667318,23.25892158,13.39207848,17.87785916,28.02995566,24.14562327,29.09440647,170,0.047419805,17.73415784
90059,37511,367,0.0097838,17,1,0,0,0,43,0.00114633,81,122,0,79,17,14.56178987,21.1756061,24.27609142,14.71520578,21.66285894,21.651967,21.42797767,13.65568602,10.98469841,24.50874858,18.48832417,27.03768773,22.38304943,25.81357137,18.49431135,24.48672408,19.62260596,44,0.001172989,14.57867615
90061,30051,180,0.00598982,12,2,1,1,0,20,0.000665535,196,241,0,67,0,13.15189957,20.48493748,23.9589566,14.93183025,20.84016685,20.82451988,19.87471507,13.5910766,10.53827425,23.9495055,17.3568335,25.18094067,21.98346459,25.00676791,19.37254223,22.89867605,20.51983712,19,0.000632258,13.1085685
90062,32715,0,0,7,2,1,1,1,83,0.002537063,110,146,0,35,0,11.66501241,10.86167498,14.62202089,7.674388606,11.22012138,11.20384456,15.0499317,5.770638044,2.57508115,14.37633984,7.884726117,17.2763594,12.57240485,15.38604343,28.96269805,17.23992308,30.10749602,78,0.002384227,11.78957493
90063,48397,303,0.00626072,21,3,0,0,1,248,0.005124285,147,157.5,0,60,0,23.88710202,14.49559766,14.07225799,6.057684692,15.72205973,15.74892581,27.23172013,7.640225068,10.06992838,15.84453914,15.90504497,26.8563097,13.26476319,18.54289194,32.30135659,29.00669889,33.28260051,292,0.006033432,23.86349855
90064,26642,0,0,14,3,0,0,0,230,0.008632986,140,206.5,0,79,30,10.35517348,12.31349542,17.11387616,16.98510737,11.34253607,11.29539345,6.251014706,15.29219027,13.70511861,15.14548734,7.773092932,6.18153728,15.36689392,13.67985464,37.42531123,6.511710458,38.58302083,221,0.008295173,10.33559925
90065,44658,0,0,18,3,1,1,0,228,0.005105468,142,160,0,65,0,25.07076413,9.423726341,6.981792832,6.630956015,10.73579196,10.77319443,26.38754424,8.389625606,11.83768285,9.204177195,13.13079519,23.12741774,7.044956831,12.15470029,38.71717918,27.36272402,39.74978526,234,0.005239823,25.05568559
90066,56740,8,0.00014099,21,4,2,2,1,646,0.011385266,162,180,0,90,0,6.540769929,15.04667656,19.93965809,17.67197092,14.26419245,14.21882067,4.229249304,15.77035303,13.4279062,18.20151447,10.09874331,9.73119153,18.05253206,17.13000519,34.13481384,6.428426501,35.28687052,650,0.011455763,6.535176023
90068,21572,1,0.00004636,2,1,0,0,0,778,0.03606527,234.5,260.5,0,107,16,20.57456746,1.648177571,4.462909212,10.14170708,2.177603894,2.214150891,19.1393315,9.766078916,11.5671693,2.780275646,6.316787827,13.60882667,3.317276931,3.56876227,41.00368119,19.17602141,42.13227385,756,0.035045429,20.63401691
90069,20961,936,0.04465436,2,2,1,1,0,777,0.037068842,456,517.5,638,184,0,16.70357685,4.984942556,9.222871867,12.59438376,3.743515479,3.697075894,14.30524944,11.61181626,12.08057992,7.089576312,3.875427308,8.918659512,7.801942017,5.794221943,40.38968624,14.23089651,41.54257682,772,0.036830304,16.74660355
