ZIP_CODE,Population,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,amenities_index,crime_index,education_index,crime_events,violent_crime_events,property_crime_events,part1_events,crime_events_per_capita,violent_crime_per_capita,property_crime_per_capita
90035,29000,1,0,0,0,16,3e-05,0.000551724,3.4e-05,-0.3542920916672663,-0.08680973416316168,1.0057273398707387,6521.0,1351.0,4760.0,3799.0,0.22486206896551725,0.04658620689655173,0.16413793103448276
90036,39278,1,0,0,0,13,0.0,0.000330974,2.5e-05,-0.49220598553154454,-0.08694945497590129,-0.05373554960887929,12703.0,2146.0,9829.0,8977.0,0.3234125973827588,0.05463618310504608,0.2502418656754417
90037,65482,1,0,0,0,15,2e-05,0.000229071,1.5e-05,-0.40026338962202573,-0.08685630776740821,-0.5428066564113324,20180.0,8544.0,10260.0,11764.0,0.30817629272166397,0.13047860480742798,0.1566842796493693
90038,27127,1,0,0,0,8,0.00052,0.000294909,3.7e-05,-0.7220624753053416,-0.0845276275550814,-0.22682514919702168,9689.0,3024.0,6067.0,5593.0,0.35717182143252113,0.11147565156486158,0.2236517123161426
90039,28884,1,0,0,0,8,0.0,0.00027697,3.5e-05,-0.7220624753053416,-0.08694945497590129,-0.3129212070650843,5569.0,874.0,4385.0,3754.0,0.19280570558094448,0.030258966902091122,0.15181415316438165
90040,11430,5,0,0,1,3,0.0776,0.000262467,0.000437,-0.9519189650791388,0.2744617139772204,-0.3825265990747012,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90041,27920,2,0,0,0,9,0.0,0.00032235,7.2e-05,-0.6760911773505822,-0.08694945497590129,-0.09512539313717926,3947.0,815.0,2886.0,2508.0,0.14136819484240687,0.02919054441260745,0.10336676217765042
90042,56835,1,0,0,0,16,0.0,0.000281517,1.8e-05,-0.3542920916672663,-0.08694945497590129,-0.2910984312623038,8255.0,2116.0,5498.0,4813.0,0.14524500747778657,0.03723057974839448,0.09673616609483593
90043,42377,1,0,0,0,23,0.00526,0.000542747,2.4e-05,-0.03249300598395033,-0.06245173914222319,0.962643315595049,10620.0,4021.0,5920.0,5728.0,0.25060764093730087,0.0948863770441513,0.13969842131344834
90044,94830,1,0,0,0,26,0.00787,0.000274175,1.1e-05,0.105420887880328,-0.05029602843387722,-0.32633547105645727,24697.0,11059.0,12190.0,14362.0,0.26043446166824846,0.11661921332911526,0.12854581883370242
